gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
RAX	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAX2	LOF	0	0	0	0	0			0	0	0	
RB1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RBBP5	LOF	0	0	0	0	0			0	0	0	
RBCK1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RBFOX1	LOF	0	0	0	0	0			0	0	0	
RBM10	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RBM28	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RBM8A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RBP3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RBP4	DOMINANT_NEGATIVE;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RBSN	LOF	0	0	0	0	0			0	0	0	
RCBTB1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RCC1	LOF	0	0	0	0	0			0	0	0	
RD3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RDH11	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RDH12	GOF;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RDH5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RECQL4	LOF	1	1	0	0	2	G2P_DDG2P	LOF	0	0	0	
REEP2	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
REEP6	LOF	1	1	0	0	1	G2P_DDG2P;Orphadata	LOF	0	0	0	
RELB	LOF	0	0	0	0	0			0	0	0	
RELN	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RELT	LOF	0	0	0	0	0			0	0	0	
RERE	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
REST	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RET	GOF;LOF	1	1	0	0	5	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	0	0	0	
RETREG1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RFC4	LOF	0	0	0	0	0			0	0	0	
RFT1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RFX3	LOF	0	0	0	0	0			0	0	0	
RFX6	LOF	0	0	0	0	0			0	0	0	
RFX7	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RGR	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RGS7	LOF	0	0	0	0	0			0	0	0	
RGS9	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RGS9BP	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RHBDF2	GOF	1	1	0	0	2	G2P_DDG2P;Orphadata	GOF	0	0	0	
RHO	DOMINANT_NEGATIVE;LOF	1	1	0	0	1	G2P_DDG2P	DOMINANT_NEGATIVE;LOF	0	0	0	
RHOA	GOF	0	0	0	0	0			0	0	0	
RHOH	LOF	0	0	0	0	0			0	0	0	
RICTOR	GOF	0	0	0	0	0			0	0	0	
RIGI	GOF	0	0	0	0	0			0	0	0	
RIMS2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RIN2	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RINT1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RIPK1	LOF	0	0	0	0	0			0	0	0	
RIPK4	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RIT1	GOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF	0	0	0	
RLBP1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RMI1	LOF	0	0	0	0	0			0	0	0	
RMND1	LOF	0	0	0	0	0			0	0	0	
RMRP	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNASEH1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RNASEH2A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNASEH2B	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNASEH2C	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
